Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
0,0.275,0.45,0.5025,0.5,0.55,0.7,20.60456809
1,0.275,0.44375,0.49,0.475,0.55,0.775,19.70382008
2,0.3,0.45,0.504625,0.5,0.55,0.775,20.68020149
3,0.275,0.45,0.50125,0.5,0.55,0.7,20.67192332
4,0.3,0.45,0.49625,0.5,0.55,0.725,20.44401255
5,0.3,0.45,0.49325,0.5,0.55,0.675,20.55261767
6,0.3,0.45,0.501875,0.5,0.55,0.725,20.62186369
7,0.275,0.45,0.511875,0.5125,0.575,0.75,21.07744354
8,0.225,0.45,0.50475,0.5,0.575,0.725,20.63462811
9,0.3,0.45,0.505125,0.5,0.55,0.7,20.7091552
10,0.325,0.45,0.502875,0.5,0.55,0.7,20.65523693
11,0.3,0.45,0.508125,0.5,0.55625,0.75,20.68320286
12,0.3,0.425,0.50575,0.5,0.575,0.725,20.70228323
13,0.25,0.425,0.49175,0.5,0.55,0.7,20.53441725
14,0.3,0.45,0.49925,0.5,0.55,0.775,20.56683993
15,0.275,0.45,0.510125,0.5,0.575,0.75,20.72359379
16,0.3,0.45,0.5005,0.5,0.55,0.7,20.66436922
17,0.3,0.45,0.50775,0.5,0.575,0.775,20.687587
18,0.325,0.44375,0.494625,0.5,0.55,0.7,20.5180226
19,0.3,0.45,0.498125,0.5,0.55,0.7,20.62753445
20,0.275,0.425,0.4845,0.475,0.525,0.725,19.62049827
21,0.3,0.45,0.50825,0.5,0.575,0.75,20.68823325
22,0.3,0.45,0.495125,0.5,0.55,0.725,20.58630452
23,0.3,0.45,0.50875,0.5,0.575,0.8,20.80852083
24,0.25,0.45,0.508375,0.5,0.575,0.725,20.83298399
25,0.275,0.45,0.508375,0.5,0.55,0.725,20.74462428
26,0.3,0.45,0.493375,0.5,0.55,0.7,20.52935131
27,0.275,0.45,0.498875,0.5,0.55,0.725,20.57390077
28,0.225,0.45,0.507125,0.5,0.55,0.725,20.72654358
29,0.275,0.45,0.49975,0.5,0.55,0.75,20.60239774
30,0.25,0.45,0.493375,0.5,0.55,0.675,20.58128066
31,0.275,0.45,0.496625,0.5,0.55,0.75,20.59021262
32,0.25,0.45,0.511875,0.5,0.55,0.7,20.8335472
33,0.3,0.45,0.501375,0.5,0.55,0.775,20.45192418
34,0.275,0.425,0.4935,0.5,0.55,0.7,20.47980961
35,0.2,0.45,0.493875,0.5,0.55,0.675,20.5272498
36,0.3,0.45,0.50625,0.5,0.55,0.675,20.59842483
37,0.3,0.45,0.500625,0.5,0.55,0.75,20.65031958
38,0.275,0.45,0.494875,0.5,0.55,0.725,20.55695559
39,0.3,0.425,0.50025,0.5,0.55,0.775,20.61083729
40,0.325,0.45,0.500125,0.5,0.55,0.75,20.59202263
41,0.225,0.425,0.495875,0.5,0.55,0.725,20.62017682
42,0.275,0.45,0.499375,0.5,0.55,0.675,20.58675767
43,0.275,0.45,0.50225,0.5,0.575,0.7,20.70379901
44,0.275,0.45,0.4955,0.5,0.55,0.7,20.59111046
45,0.275,0.475,0.515125,0.525,0.575,0.75,21.50391619
46,0.2,0.425,0.487625,0.475,0.55,0.775,19.6864609
47,0.3,0.45,0.50025,0.5,0.55,0.725,20.59661011
48,0.275,0.45,0.497625,0.5,0.55,0.725,20.5433356
49,0.225,0.45,0.500625,0.5,0.55625,0.75,20.62411382
50,0.325,0.45,0.508,0.5,0.575,0.75,20.63033916
51,0.25,0.45,0.509375,0.5,0.55,0.7,20.71605218
52,0.275,0.425,0.494,0.5,0.55,0.7,20.53107948
53,0.25,0.45,0.4955,0.5,0.55,0.725,20.58238632
54,0.2,0.45,0.500625,0.5,0.55,0.8,20.55645288
55,0.3,0.45,0.507125,0.5,0.575,0.75,20.69665077
56,0.275,0.45,0.507125,0.5,0.55,0.725,20.71010863
57,0.325,0.45,0.504625,0.5,0.55,0.8,20.5328064
58,0.25,0.475,0.511375,0.525,0.575,0.7,21.49384286
59,0.3,0.45,0.495125,0.5,0.55,0.7,20.51019318
60,0.3,0.45,0.501125,0.5,0.55,0.7,20.7447144
61,0.3,0.45,0.500125,0.5,0.55,0.75,20.62849474
62,0.275,0.45,0.49825,0.5,0.55,0.7,20.61799478
63,0.225,0.45,0.50025,0.5,0.55,0.725,20.67043621
64,0.25,0.45,0.49625,0.5,0.55,0.7,20.56631223
65,0.275,0.45,0.5015,0.5125,0.55,0.7,21.11526661
66,0.275,0.45,0.5075,0.5,0.55625,0.725,20.65329727
67,0.275,0.45,0.50225,0.5,0.55,0.725,20.680062
68,0.3,0.45,0.506875,0.5,0.55,0.7,20.72221491
69,0.3,0.45,0.498375,0.5,0.55,0.7,20.59472101
70,0.275,0.45,0.501375,0.5,0.55,0.75,20.56444324
71,0.275,0.45,0.505875,0.5,0.55,0.75,20.73940878
72,0.275,0.45,0.510875,0.5,0.575,0.725,20.76915537
73,0.3,0.45,0.5015,0.5,0.55625,0.725,20.63897459
74,0.325,0.475,0.51625,0.525,0.575,0.7,21.47993231
75,0.275,0.45,0.51,0.5,0.575,0.75,20.78301506
76,0.25,0.44375,0.492625,0.475,0.55,0.7,19.84020819
77,0.25,0.45,0.503,0.5,0.55,0.725,20.70530812
78,0.325,0.475,0.515625,0.525,0.575,0.675,21.61861696
79,0.25,0.45,0.507125,0.5,0.55625,0.75,20.68193974
